% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
156	1	3	2	0	28	749	0	1	0
156	2	2	1	0	28	749	0	1	1
156	2	3	2	0	28	749	0	1	1
156	2	1	3	0	28	749	0	1	1
156	3	2	1	0	28	749	0	1	2
156	3	3	2	0	28	749	0	1	2
156	3	1	3	0	28	749	0	1	2
157	1	1	3	0	28	749	0	1	0
157	1	2	1	0	28	749	0	1	0
157	1	3	2	0	28	749	0	1	0
157	2	2	1	0	28	749	0	1	1
157	2	3	2	0	28	749	0	1	1
157	2	1	3	0	28	749	0	1	1
157	3	2	1	0	28	749	0	1	2
157	3	3	2	0	28	749	0	1	2
157	3	1	3	0	28	749	0	1	2
158	1	1	3	0	28	749	0	1	0
158	1	2	1	0	28	749	0	1	0
158	1	3	2	0	28	749	0	1	0
158	2	2	1	0	28	749	0	1	1
158	2	3	2	0	28	749	0	1	1
158	2	1	3	0	28	749	0	1	1
158	3	2	1	0	28	749	0	1	2
158	3	3	2	0	28	749	0	1	2
158	3	1	3	0	28	749	0	1	2
159	1	1	3	0	28	749	0	1	0
159	1	2	1	0	28	749	0	1	0
159	1	3	2	0	28	749	0	1	0
159	2	2	1	0	28	749	0	1	1
159	2	3	2	0	28	749	0	1	1
159	2	1	3	0	28	749	0	1	1
159	3	2	1	0	28	749	0	1	2
159	3	3	2	0	28	749	0	1	2
159	3	1	3	0	28	749	0	1	2
160	1	1	3	0	28	749	0	1	0
160	1	2	1	0	28	749	0	1	0
160	1	3	2	0	28	749	0	1	0
160	2	2	1	0	28	749	0	1	1
160	2	3	2	0	28	749	0	1	1
160	2	1	3	0	28	749	0	1	1
160	3	2	1	0	28	749	0	1	2
160	3	3	2	0	28	749	0	1	2
160	3	1	3	0	28	749	0	1	2
161	1	1	3	0	28	749	0	1	0
161	1	2	1	0	28	749	0	1	0
161	1	3	2	0	28	749	0	1	0
161	2	2	1	0	28	749	0	1	1
161	2	3	2	0	28	749	0	1	1
161	2	1	3	0	28	749	0	1	1
161	3	2	1	0	28	749	0	1	2
161	3	3	2	0	28	749	0	1	2
161	3	1	3	0	28	749	0	1	2
162	1	1	3	0	28	749	0	1	0
162	1	2	1	0	28	749	0	1	0
162	1	3	2	0	28	749	0	1	0
162	2	2	1	0	28	749	0	1	1
162	2	3	2	0	28	749	0	1	1
162	2	1	3	0	28	749	0	1	1
162	3	2	1	0	28	749	0	1	2
162	3	3	2	0	28	749	0	1	2
162	3	1	3	0	28	749	0	1	2
163	1	1	3	0	28	749	0	1	0
163	1	2	1	0	28	749	0	1	0
163	1	3	2	0	28	749	0	1	0
163	2	2	1	0	28	749	0	1	1
163	2	3	2	0	28	749	0	1	1
163	2	1	3	0	28	749	0	1	1
163	3	2	1	0	28	749	0	1	2
163	3	3	2	0	28	749	0	1	2
163	3	1	3	0	28	749	0	1	2
164	1	1	3	0	28	749	0	1	0
164	1	2	1	0	28	749	0	1	0
164	1	3	2	0	28	749	0	1	0
164	2	2	1	0	28	749	0	1	1
164	2	3	2	0	28	749	0	1	1
164	2	1	3	0	28	749	0	1	1
164	3	2	1	0	28	749	0	1	2
164	3	3	2	0	28	749	0	1	2
164	3	1	3	0	28	749	0	1	2
165	1	1	3	0	28	749	0	1	0
165	1	2	1	0	28	749	0	1	0
165	1	3	2	0	28	749	0	1	0
165	2	2	1	0	28	749	0	1	1
165	2	3	2	0	28	749	0	1	1
165	2	1	3	0	28	749	0	1	1
165	3	2	1	0	28	749	0	1	2
165	3	3	2	0	28	749	0	1	2
165	3	1	3	0	28	749	0	1	2
166	1	1	3	0	28	749	0	1	0
166	1	2	1	0	28	749	0	1	0
166	1	3	2	0	28	749	0	1	0
166	2	2	1	0	28	749	0	1	1
166	2	3	2	0	28	749	0	1	1
166	2	1	3	0	28	749	0	1	1
166	3	2	1	0	28	749	0	1	2
166	3	3	2	0	28	749	0	1	2
166	3	1	3	0	28	749	0	1	2
167	1	1	3	0	28	749	0	1	0
167	1	2	1	0	28	749	0	1	0
167	1	3	2	0	28	749	0	1	0
167	2	2	1	0	28	749	0	1	1
167	2	3	2	0	28	749	0	1	1
167	2	1	3	0	28	749	0	1	1
167	3	2	1	0	28	749	0	1	2
167	3	3	2	0	28	749	0	1	2
167	3	1	3	0	28	749	0	1	2
168	1	1	3	0	28	749	0	1	0
168	1	2	1	0	28	749	0	1	0
168	1	3	2	0	28	749	0	1	0
168	2	2	1	0	28	749	0	1	1
168	2	3	2	0	28	749	0	1	1
168	2	1	3	0	28	749	0	1	1
168	3	2	1	0	28	749	0	1	2
168	3	3	2	0	28	749	0	1	2
168	3	1	3	0	28	749	0	1	2
169	1	1	3	0	28	749	0	1	0
169	1	2	1	0	28	749	0	1	0
169	1	3	2	0	28	749	0	1	0
169	2	2	1	0	28	749	0	1	1
169	2	3	2	0	28	749	0	1	1
169	2	1	3	0	28	749	0	1	1
169	3	2	1	0	28	749	0	1	2
169	3	3	2	0	28	749	0	1	2
169	3	1	3	0	28	749	0	1	2
170	1	1	3	0	28	749	0	1	0
170	1	2	1	0	28	749	0	1	0
170	1	3	2	0	28	749	0	1	0
170	2	2	1	0	28	749	0	1	1
170	2	3	2	0	28	749	0	1	1
170	2	1	3	0	28	749	0	1	1
170	3	2	1	0	28	749	0	1	2
170	3	3	2	0	28	749	0	1	2
170	3	1	3	0	28	749	0	1	2
171	1	1	3	0	28	749	0	1	0
171	1	2	1	0	28	749	0	1	0
171	1	3	2	0	28	749	0	1	0
171	2	2	1	0	28	749	0	1	1
